Year,Month,PM2.5,NO2,SO2,AOD,Temperature,Bus_operation,Temp1,Rainfall,Wind speed,Humidity,Pressure
2018,4,66.043333,0,0,0,30.7,3710,32,2.78,12.7,53,1008.5
2018,5,19.229016,0,0,0,29.5,4425,31,152.19,13.3,63,1007.8
2018,6,15.787176,0,0,0,27.6,4481,28,320.9,15.9,80,1005.8
2018,7,0,17,0,0,27,4488,27,389.17,15.4,84,1004.8
2018,8,0,27,0,0,26.9,4555,27,438.86,15.4,86,1005.1
2018,9,0,31,0,0.351,27.3,4597,27,195.53,10.3,83,1008.1
2018,10,46.756806,44,-41,0.288,27.8,4569,28,87.6,7.7,78,1010.7
2018,11,85.260086,61,12,0.27,27.6,4527,26,4.06,9.5,71,1011.8
2018,12,84.316257,53,45,0.26,25.6,4581,27,10.07,8.6,62,1012.1
2019,1,104.09294,70,49,0.278,24.9,4636,29,38.3,9.1,49,1013.3
2019,2,121.919583,75,68,0.352,26.9,4624,33,0,9,38,1012.3
2019,3,99.481481,81,27,0.567,29,4571,34,0.4,11.7,44,1010.1
2019,4,87.190061,59,3,0.386,30.7,3793,36,0.3,13.4,47,1007.8
2019,5,52.868687,42,-80,0.796,29.7,4422,34,114,14.8,57,1006.6
2019,6,20.375398,41,-60,0.53,27.5,4565,30,676.1,13.5,75,1005.2
2019,7,16.80304,22,34,0.395,27,4580,28,841.1,12.4,82,1006.5
2019,8,18.523238,23,13,0.456,26.8,4528,28,861,13.1,84,1005.1
2019,9,26.931284,33,-16,0.332,27.3,4614,28,867.7,10.6,82,1008.5
2019,10,47.048824,44,-8,0.349,27.8,4485,30,136,7.5,75,1009.5
2019,11,60.071539,51,-11,0.309,27.6,4354,29,147.5,7.9,72,1010.6
2019,12,64.50142,73,40,0.278,25.7,4434,28,2.2,8.8,55,1012.5
2020,1,44.984912,73,52,0.385,24.8,4579,29,0,8.5,46,1012.1
2020,2,129.205079,68,43,0.457,26.2,4348,31,0,9.9,42,1012.2
2020,3,96.877129,53,34,0.383,28.3,4417,33,0,11.4,53,1009.7
2020,4,80.152297,46,10,0.361,30.3,0,34,23.4,12,55,1009.2
2020,5,32.037474,33,-38,0.398,29.4,0,34,81.9,13.5,56,1006.8
2020,6,11.187462,26,43,0.442,27.3,0,30,484.3,11.4,74,1006.1
2020,7,3.727208,28,-71,0.432,26.9,0,30,446.3,10.9,76,1006.2
2020,8,0,25,-43,0.48,26.8,0,28,773.5,11.7,83,1005.4
2020,9,4.128539,18,9,0.383,27.2,0,29,594.8,9.2,81,1006.5
2020,10,7.824972,30,61,0.378,27.7,0,28,546.6,9.7,83,1006.8
